node_id,neighbors_with_weights
0,"[(1, 565.9952835890977), (280, 419.5477795031521), (281, 359.27750218377605)]"
1,"[(0, 565.9952835890977), (380, 392.2628330635508), (381, 283.01719434746667)]"
2,"[(515, 508.5580773883525), (516, 272.6543814049738)]"
3,"[(600, 197.54122355762863), (601, 375.5535907695071)]"
4,"[(10, 510.9455076882531), (24, 469.8691232327421), (27, 535.5662454237192), (676, 85.65416479586759)]"
5,"[(650, 279.33537198963603), (651, 226.13993278347417)]"
6,"[(560, 450.299492614449)]"
7,"[(855, 339.0382060741592)]"
8,"[(310, 385.99831429644166), (311, 292.5720413808793)]"
9,"[(740, 352.81739656188614), (741, 234.75293315371596)]"
10,"[(4, 510.9455076882531), (27, 421.0620070441161), (915, 256.676452074252), (916, 173.25948995908126)]"
11,"[(680, 89.31838649518383), (681, 211.14079858542905)]"
12,"[(475, 220.79924855514528), (476, 357.3344333145312)]"
13,"[(961, 334.0574411584128)]"
14,"[(670, 273.59333067800736), (671, 337.6229339807964)]"
15,"[(710, 196.0854428703883), (711, 183.60002314532863)]"
16,"[(82, 395.55605029038986), (1070, 196.71067054999025), (1071, 323.0458236551369)]"
17,"[(930, 394.78471048081815), (931, 316.169127702982)]"
18,"[(1060, 292.839827600963), (1061, 207.09093120366833)]"
19,"[(450, 255.24913084679633), (451, 203.0998775935202)]"
20,"[(21, 196.2822149575891), (485, 392.09239362802197), (486, 193.61956465769083)]"
21,"[(20, 196.2822149575891), (1185, 197.60336911336825), (1186, 278.847102742343)]"
22,"[(580, 180.4980465581799), (581, 287.6043075073115)]"
23,"[(850, 379.02961858527067), (851, 292.78236496057775)]"
24,"[(4, 469.8691232327421), (27, 526.722739014642), (1275, 119.40214068053503), (1276, 130.04739338082186)]"
25,"[(136, 443.5006313327241), (1355, 434.6083517379257)]"
26,"[(1470, 307.7156852216258), (1471, 228.42894830311008)]"
27,"[(4, 535.5662454237192), (10, 421.0620070441161), (24, 526.722739014642), (800, 254.28413480892232), (801, 258.94773390582725)]"
28,"[(980, 203.72107021664172), (981, 219.53994498482422)]"
29,"[(660, 448.0088465741426), (661, 225.94822978292962)]"
30,"[(1460, 340.0365692378458), (1461, 208.08618785913927)]"
31,"[(1335, 138.5231937941591), (1336, 126.7699424696448)]"
32,"[(235, 106.94896218636258), (736, 302.25461912433263)]"
33,"[(1325, 248.93417810190658)]"
34,"[(1326, 166.00075170579754)]"
35,"[(1395, 254.30883608603932), (1396, 382.44476810409435)]"
36,"[(655, 233.1878828163404), (656, 438.5854281884611)]"
37,"[(345, 227.63860603845578), (346, 321.727481516474)]"
38,"[(1375, 263.28239173793327), (1376, 247.32344325356902)]"
39,"[(840, 300.51814751628245), (841, 358.21153843835975)]"
40,"[(460, 285.59499284999026), (461, 386.3853530768505)]"
41,"[(465, 422.8221595447779), (466, 340.7006735672596)]"
42,"[(1100, 238.96737013187516), (1101, 527.0303639340794)]"
43,"[(1450, 275.6605450478104), (1451, 281.7324869849397)]"
44,"[(865, 308.7451013747537), (866, 197.1844854608603)]"
45,"[(1250, 462.7030247985422), (1251, 254.42838256422)]"
46,"[(63, 641.5132637400791), (330, 296.21972615497015), (331, 380.68769362474393)]"
47,"[(1120, 263.22859035370396), (1121, 419.6016866945431)]"
48,"[(1485, 201.75586033537815), (1486, 505.0508124782171)]"
49,"[(990, 311.5964102256468), (991, 363.57502297320076)]"
50,"[(305, 250.55010958672364), (306, 344.4643349185788)]"
51,"[(52, 415.59544240191394), (730, 269.8995361131781), (731, 87.38329988612212)]"
52,"[(51, 415.59544240191394), (1025, 356.0918103434235)]"
53,"[(157, 737.4942930421662), (480, 307.22149511021223), (481, 334.92580254805335)]"
54,"[(825, 284.59016703201945), (826, 214.77271718581147)]"
55,"[(196, 371.24536083882225), (1150, 161.63604148479018), (1151, 161.51359977210046)]"
56,"[(550, 251.8206271713947), (551, 290.8006334062457)]"
57,"[(1405, 254.87849219482527), (1406, 251.53518650878087)]"
58,"[(1435, 298.6901424434046), (1436, 243.36824743560192)]"
59,"[(1130, 290.06324896067355), (1131, 205.94341208492807)]"
60,"[(335, 362.90560906061995), (336, 263.3630914928836)]"
61,"[(81, 465.6310693426624), (1480, 159.91006075577909)]"
62,"[(950, 327.8302920586861), (951, 248.02475247332225)]"
63,"[(46, 641.5132637400791), (585, 330.34219836879396), (586, 304.8620417937077)]"
64,"[(535, 380.50156575932846), (536, 320.6715706353025)]"
65,"[(193, 201.0338386966095), (340, 279.35489054851195), (341, 225.89722943327823)]"
66,"[(67, 0.0), (530, 487.3423745008022), (531, 355.2781071523063)]"
67,"[(66, 0.0), (350, 311.31290334884386), (351, 473.0197133521656)]"
68,"[(69, 246.52494481229746), (70, 106.20127345995434), (905, 505.97451414311564), (906, 180.06157246925855)]"
69,"[(68, 246.52494481229746), (70, 352.01332043371116), (690, 219.2809653725232), (691, 217.08326574127423), (726, 303.8974691962847)]"
70,"[(68, 106.20127345995434), (69, 352.01332043371116), (1136, 345.47932021712813), (1195, 315.3235049188182)]"
71,"[(72, 0.0), (625, 279.0543314065322), (626, 212.1037508301889)]"
72,"[(71, 0.0), (1085, 135.8173932160712), (1086, 371.0066849209796)]"
73,"[(355, 553.6966140475922), (356, 310.5568389092285)]"
74,"[(1440, 215.6108641831884), (1441, 482.8670302313803)]"
75,"[(525, 284.5739185534668), (526, 439.70667478887833)]"
76,"[(77, 295.4851572879481), (1300, 152.0588386896001), (1301, 159.47481349618315)]"
77,"[(76, 295.4851572879481), (1170, 326.7008761046327), (1171, 250.27422492598234)]"
78,"[(575, 303.3520155475468), (576, 201.9003802727396)]"
79,"[(1515, 361.47490177774006), (1516, 316.2621946807655)]"
80,"[(1135, 212.30129856657314)]"
81,"[(61, 465.6310693426624), (555, 274.2673620387976), (556, 389.7084412537865)]"
82,"[(16, 395.55605029038986), (1190, 301.6524520537322), (1191, 352.16663532769354)]"
83,"[(1305, 136.9555511110576), (1306, 195.46116274323526)]"
84,"[(1295, 113.87026764579323), (1296, 131.17511268750573)]"
85,"[(172, 478.94525329973635), (1430, 311.0392283565484), (1431, 270.9819984438299)]"
86,"[(1270, 219.90313846505862), (1271, 137.51283835556802)]"
87,"[(880, 868.5264368504039), (881, 295.556757020401)]"
